trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-208.31011538121086,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-101.8059634336561,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-120.24757848249052,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-265.248518785103,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,7,-69.36172286703056,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-127.39129076359256,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-132.7822773491515,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-51.638278522823356,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-22.43002327717444,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-58.12249882719016,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-121.49590290309757,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-23.929509657276903,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,3,-54.83256398040911,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,15,-22.732127272738218,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-1.309843459612246,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,6.1651700557929,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,18.173487916104943,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-31.542176873158912,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,9.699963676920953,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,7,29.161147150038175,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,7,21.798034166333533,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,23,8.46416350660213,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,13,38.5747331977699,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,28.531212154042553,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,6,-6.5371307465292805,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,5,14.309385767292182,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-1.9332783512858107,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,15.915710303060433,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,1,3.2451771543058436,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,20.832461982334923,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",25,0,-12.78815437835541,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",30,3,46.14075505645377,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,0,-6.273741108916004,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",20,0,24.727540129877585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",20,12,-31.360406547971817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,True,"{'a': 0, 'e': 0}",30,4,-27.242365162190918,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,True,"{'a': 0, 'e': 0}",20,0,-59.91476078259905,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",20,15,9.465213947844067,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,14,7.595290675480366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,0,23.767250362753572,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,True,"{'a': 0, 'e': 0}",20,6,23.284870059239122,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,1,37.08609205951891,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,0,-22.881381740862807,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
24,True,"{'a': 0, 'e': 0}",20,4,23.190462656300383,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,0,-24.96952636958955,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
26,True,"{'a': 0, 'e': 0}",20,0,19.272986643220648,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0, 'e': 0}",20,0,32.41985224412411,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0, 'e': 0}",20,14,8.473761829821557,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,0,3.2664918771739937,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,True,"{'a': 0, 'e': 0}",30,10,32.68950531740824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
