trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.49900099933366654, 'e': 0.4980000106665984}",20,0,-123.9189942761684,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.49800399467199574, 'e': 0.4960000853311488}",25,0,-128.694338583722,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.49700898202696764, 'e': 0.4940002879834121}",30,14,15.578887291994816,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.49601595741853033, 'e': 0.4920006825967689}",20,0,-97.30535458107632,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.49502491687458405, 'e': 0.49000133312003447}",20,0,-32.701632388528736,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.49403585643096526, 'e': 0.4880023034692821}",20,2,-7.021530096836597,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.49304877213143095, 'e': 0.4860036575196728}",25,0,-89.49169671191228,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.49206366002764257, 'e': 0.484005459097298}",20,0,-69.96319081397371,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.4910805161791504, 'e': 0.48200777197103506}",20,8,-3.460953031384597,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.4900993366533776, 'e': 0.48001065984441815}",20,0,-131.483237886995,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.489120117525605, 'e': 0.4780141863475271}",20,13,6.567891915504366,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.48814285487895465, 'e': 0.47601841502889564}",25,0,-102.93047596084686,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.4871675448043747, 'e': 0.47402340934744247}",30,0,-161.89735259046304,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
14,False,"{'a': 0.4861941834006234, 'e': 0.47202923266442653}",25,0,-32.64197377447896,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.4852227667742541, 'e': 0.47003594823542827}",20,2,-8.448104754142069,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.4842532910395988, 'e': 0.46804361920235926}",25,0,-65.04678342591296,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.4832857523187533, 'e': 0.4660523085855035}",25,4,5.165094144729884,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.48232014674156154, 'e': 0.4640620792755912}",25,0,-120.53442159729113,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.48135647044559976, 'e': 0.4620729940259065}",20,2,-0.2673598537312569,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.4803947195761616, 'e': 0.4600851154444343}",25,10,-32.33244126376325,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
21,False,"{'a': 0.47943489028624225, 'e': 0.4580985059860436}",30,14,-7.886787368042883,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.47847697873652334, 'e': 0.45611322794471443}",25,0,-98.55191139316742,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.47752098109535734, 'e': 0.45412934344580624}",25,17,-1.2561665354690879,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.47656689353875237, 'e': 0.4521469144383725}",20,0,-40.96612373315059,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.475614712250357, 'e': 0.45016600268752205}",20,6,-74.29683075233415,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.47466443342144476, 'e': 0.44818666976682975}",20,12,0.8379200527902653,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.47371605325089916, 'e': 0.4462089770507982}",20,0,-55.654527488710016,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.47276956794519814, 'e': 0.44423298570737235}",30,0,-75.27101882987112,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.47182497371839927, 'e': 0.44225875669050996}",30,16,-42.77557654737927,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
30,False,"{'a': 0.47088226679212436, 'e': 0.4402863507328071}",25,0,-55.36324853360041,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.46994144339554444, 'e': 0.43831582833818417}",25,0,-50.77692262959514,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
32,False,"{'a': 0.46900249976536473, 'e': 0.4363472497746319}",20,0,-122.8887435057571,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.4680654321458094, 'e': 0.4343806750670184}",25,10,-73.16919872809724,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
34,False,"{'a': 0.46713023678860677, 'e': 0.43241616398996263}",20,0,-9.694049830521736,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
35,False,"{'a': 0.46619690995297414, 'e': 0.43045377606077095}",35,0,-60.849801422883495,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.46526544790560287, 'e': 0.4284935705324441}",25,7,-11.021146027523713,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.4643358469206436, 'e': 0.4265356063867506}",30,18,-15.353869168721134,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.4634081032796911, 'e': 0.4245799423273734}",25,0,10.567978099286846,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.46248221327176964, 'e': 0.42262663677312706}",25,8,-15.235308483705225,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.4615581731933179, 'e': 0.4206757478512505}",30,0,24.84844523786971,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.46063597934817435, 'e': 0.4187273333907745}",20,14,-4.379630449358908,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.45971562804756233, 'e': 0.41678145091596663}",25,0,-67.44132112038938,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.45879711561007547, 'e': 0.41483815763985465}",20,0,-2.012008342588711,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.4578804383616628, 'e': 0.4128975104578304}",20,8,-7.169797679670863,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.4569655926356141, 'e': 0.41095956594133487}",30,3,-33.26672667600401,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.4560525747725452, 'e': 0.409024380331626}",30,0,-80.48530649514537,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.4551413811203835, 'e': 0.4070920095336312}",20,7,-61.4225292717915,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
48,False,"{'a': 0.4542320080343531, 'e': 0.40516250910988494}",25,10,-14.830659592472278,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.45332445187696047, 'e': 0.4032359342745535}",20,10,13.923808912881341,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
