trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-85.26022212,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-61.99090427,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-54.0062097,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-101.4450947,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-105.2287704,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,FALSE,"{'a': 0.5, 'e': 1.0}",30,7,-56.62681899,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 0}",1
7,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-102.2865654,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-101.449443,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-209.5261388,"{0: 12, 1: 1, 2: 6, 3: 4, 4: 2}",0
10,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-107.7238742,"{0: 11, 1: 4, 2: 10, 3: 0, 4: 0}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-92.83724028,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-97.28106276,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
13,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-180.809741,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-148.5088048,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
15,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-96.37419743,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-139.0775777,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
17,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-189.859227,"{0: 9, 1: 3, 2: 10, 3: 2, 4: 1}",0
18,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-104.4358545,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-234.476066,"{0: 11, 1: 3, 2: 5, 3: 3, 4: 3}",0
20,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-149.5230611,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
1,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-155.5940368,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-39.3766505,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-79.07917818,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
4,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-179.9560393,"{0: 14, 1: 5, 2: 7, 3: 3, 4: 1}",0
5,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-160.5569309,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
6,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-110.6786336,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-129.451317,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-191.6351323,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
9,TRUE,"{'a': 0.5, 'e': 1.0}",30,14,-29.92715011,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-113.8113285,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
